ID,TEXT
1,В какой цвет окрашивают пожарные шкафы?
2,Как часто следует перезаряжать углекислотные огнетушители?
3,Какими огнетушителями можно тушить электроустановки?
4,Укажите, как следует складировать баллоны с горючим газом, не оснащенные башмаками?
5,Огневым видом работ не является:
6,Место проведения огневых работ обязательно оснащают:
7,По степени горючести строительные материалы бывают:
8,Покрывало для изоляции очага возгорания имеет размеры:
9,Воздушно-пенные огнетушители используют для тушения пожаров следующих классов:
10,Места, специально отведенные для курения табака: